minority,age,female,onecredit,beauty,course_eval,intro,nnenglish
1,36,1,0,0.201566637,4.300000191,0,0
0,59,0,0,-0.826081336,4.5,0,0
0,51,0,0,-0.66033268,3.700000048,0,0
0,40,1,0,-0.76631248,4.300000191,0,0
0,31,1,0,1.421445131,4.400000095,0,0
0,62,0,0,0.500219584,4.199999809,0,0
0,33,1,0,-0.214350089,4,0,0
0,51,1,0,-0.346538961,3.400000095,0,0
0,33,1,0,0.061343513,4.5,0,0
0,47,0,0,0.452567875,3.900000095,0,0
1,35,0,0,0.143264294,3.099999905,0,1
0,37,0,0,-0.155022815,4,0,0
0,42,0,0,0.128543258,3.799999952,0,0
0,49,0,0,-0.347045332,3.400000095,0,1
0,37,1,0,0.461938769,2.900000095,0,0
0,45,0,0,-0.150384903,4.5,0,0
0,56,1,0,-1.070734262,4,0,0
0,48,0,0,-0.142693087,3.799999952,1,0
0,46,1,0,-0.156363413,4.300000191,0,0
0,57,1,0,-0.058935404,3.400000095,0,0
0,52,1,0,0.151136786,3.400000095,0,0
1,29,1,0,-0.937075973,3.299999952,0,1
0,62,0,0,-0.821440518,4.300000191,0,0
0,64,0,0,-0.199471235,4.400000095,0,0
0,34,1,0,1.687167406,4.599999905,0,0
0,58,0,0,-0.410197556,4.199999809,0,0
1,52,0,0,0.123344831,4,0,1
0,73,0,0,-0.805994153,3.299999952,0,0
0,70,0,0,-0.821041763,4.400000095,0,0
0,41,1,0,0.319818497,2.299999952,0,0
0,63,0,0,-0.098556787,3.5,0,0
0,47,0,0,-1.012306094,4.699999809,0,0
0,39,0,0,0.488331437,3.900000095,1,0
1,47,1,0,-0.171950549,4,1,0
0,54,0,0,-1.16790688,4.300000191,0,0
1,44,1,0,0.952553391,3.799999952,0,0
1,47,0,0,-1.140457392,3.799999952,0,0
0,62,0,0,-0.816117167,4,0,0
0,60,0,0,-0.483745575,4.599999905,0,0
0,37,0,0,0.845046818,3.5,0,0
0,42,0,0,-0.326127738,4.699999809,0,0
0,35,0,0,0.186558902,4.199999809,0,0
0,39,1,0,1.88167429,3.400000095,1,0
0,49,0,0,0.962600648,3.900000095,0,0
0,61,0,0,0.153469384,4.5,1,0
0,33,0,0,1.261045575,4.699999809,0,0
0,58,1,0,0.023214415,3.5,0,0
0,56,1,0,-0.346074551,3.700000048,0,0
0,50,1,0,-0.744617999,4,1,0
0,52,0,0,-0.744743943,4.099999905,0,0
0,33,1,0,0.636128426,4.400000095,0,0
0,57,0,0,0.543485224,4.199999809,0,0
0,38,1,0,0.982594848,4.5,0,0
0,34,1,0,-1.538843036,3.799999952,1,0
0,34,0,0,1.067530751,3.099999905,0,0
0,32,0,0,-0.414363891,3.700000048,1,0
0,42,1,0,0.796294391,3.900000095,1,0
0,43,1,0,-0.646694303,4,1,0
0,35,0,0,-0.429903418,3.299999952,0,1
0,62,1,0,-0.592406571,3.099999905,0,0
0,42,0,0,-0.98892951,4,0,0
0,39,0,0,0.554665089,4.300000191,0,0
0,52,1,0,0.685174882,3.700000048,0,0
0,52,1,0,0.9755885,3.400000095,0,0
0,52,1,0,-1.178738236,4.300000191,0,0
0,64,0,0,-1.157511115,3.700000048,0,0
0,50,0,0,1.327346325,4.199999809,0,0
0,60,0,0,-1.511267662,2.200000048,0,0
0,51,1,0,0.303473115,3,0,0
0,43,0,0,-0.578311741,4.300000191,1,0
1,50,0,1,-0.671936035,4.599999905,1,0
0,52,0,0,0.668333769,3.5,0,0
0,51,0,0,0.792469501,4.599999905,1,0
0,38,0,0,-0.654850483,3.700000048,1,0
0,47,1,0,0.251054645,3.799999952,1,0
1,43,1,0,-0.239717811,3.599999905,1,0
0,38,1,0,-1.113346457,4.400000095,1,0
0,43,0,0,-0.113593474,4.099999905,1,0
0,57,0,0,-0.835136592,4.300000191,0,0
0,51,1,0,0.90059936,4,0,0
0,45,0,1,-0.620768964,4.800000191,1,0
0,57,0,0,-0.855241239,3.5,1,0
0,47,1,0,1.065906405,3.599999905,1,0
1,54,1,0,1.144253135,3.799999952,1,0
0,58,0,0,1.685984731,4.699999809,1,0
0,42,0,0,1.684801936,4.900000095,1,0
0,33,0,0,0.636243463,4.300000191,1,0
0,62,0,0,-1.269975185,3.299999952,1,0
1,35,1,0,1.681102872,3.400000095,1,0
0,61,0,0,-0.675610304,3.599999905,1,0
0,52,1,0,-0.090181455,4,1,0
0,60,1,0,-0.145025715,3.900000095,0,1
0,32,0,0,1.143044591,4.300000191,1,0
1,42,1,0,0.332050651,3.299999952,0,1
1,36,1,0,0.201566637,3.700000048,0,0
1,36,1,0,0.201566637,3.599999905,0,0
1,36,1,0,0.201566637,4.400000095,0,0
0,59,0,0,-0.826081336,4,0,0
0,59,0,0,-0.826081336,2.099999905,0,0
0,51,0,0,-0.66033268,3.200000048,0,0
0,40,1,0,-0.76631248,3.5,0,0
0,40,1,0,-0.76631248,4.099999905,0,0
0,40,1,0,-0.76631248,4.599999905,0,0
0,40,1,0,-0.76631248,3.799999952,0,0
0,40,1,0,-0.76631248,3.799999952,0,0
0,40,1,0,-0.76631248,3.799999952,0,0
0,40,1,0,-0.76631248,4.199999809,0,0
0,31,1,0,1.421445131,3.900000095,0,0
0,31,1,0,1.421445131,4.5,0,0
0,31,1,0,1.421445131,4.5,0,0
0,31,1,0,1.421445131,4.400000095,0,0
0,31,1,0,1.421445131,4.400000095,0,0
0,62,0,0,0.500219584,4.400000095,0,0
0,62,0,0,0.500219584,4.5,0,0
0,62,0,0,0.500219584,4.300000191,0,0
0,62,0,0,0.500219584,4.599999905,0,0
0,62,0,0,0.500219584,4.800000191,0,0
0,62,0,0,0.500219584,4.300000191,0,0
0,33,1,0,-0.214350089,4,0,0
0,33,1,0,-0.214350089,4,0,0
0,33,1,0,-0.214350089,3.900000095,0,0
0,33,1,0,-0.214350089,3.299999952,0,0
0,51,1,0,-0.346538961,4.5,0,0
0,51,1,0,-0.346538961,4.5,0,0
0,51,1,0,-0.346538961,4.5,0,0
0,51,1,0,-0.346538961,2.5,1,0
0,51,1,0,-0.346538961,4.300000191,0,0
0,51,1,0,-0.346538961,4.5,0,0
0,33,1,0,0.061343513,4.699999809,0,0
0,33,1,0,0.061343513,3.5,0,0
0,33,1,0,0.061343513,4.5,0,0
0,33,1,0,0.061343513,3.799999952,0,0
0,33,1,0,0.061343513,4.5,0,0
0,33,1,0,0.061343513,4.300000191,0,0
0,47,0,0,0.452567875,3.900000095,0,0
0,47,0,0,0.452567875,4.300000191,0,0
0,47,0,0,0.452567875,4.199999809,0,0
0,47,0,0,0.452567875,5,1,0
0,47,0,0,0.452567875,5,1,0
0,47,0,0,0.452567875,4.599999905,0,0
0,47,0,0,0.452567875,5,1,0
0,47,0,0,0.452567875,4.699999809,0,0
0,47,0,0,0.452567875,5,1,0
1,35,0,0,0.143264294,2.700000048,0,1
1,35,0,0,0.143264294,4,0,1
0,37,0,0,-0.155022815,4.400000095,0,0
0,37,0,0,-0.155022815,4.400000095,0,0
0,37,0,0,-0.155022815,4.300000191,0,0
0,37,0,0,-0.155022815,3.5,0,0
0,42,0,0,0.128543258,3.799999952,0,0
0,42,0,0,0.128543258,3.900000095,0,0
0,42,0,0,0.128543258,3.700000048,0,0
0,42,0,0,0.128543258,3.299999952,0,0
0,42,0,0,0.128543258,4,0,0
0,42,0,0,0.128543258,3.799999952,0,0
0,49,0,0,-0.347045332,4.199999809,0,1
0,49,0,0,-0.347045332,3.099999905,0,1
0,49,0,0,-0.347045332,3.599999905,0,1
0,37,1,0,0.461938769,3.299999952,0,0
0,37,1,0,0.461938769,2.900000095,0,0
0,37,1,0,0.461938769,3.099999905,0,0
0,45,0,0,-0.150384903,4,1,0
0,45,0,0,-0.150384903,4,1,0
0,45,0,0,-0.150384903,4.199999809,0,0
0,45,0,0,-0.150384903,3.799999952,0,0
0,45,0,0,-0.150384903,4.300000191,1,0
0,56,1,0,-1.070734262,4.599999905,0,0
0,56,1,0,-1.070734262,4.300000191,0,0
0,56,1,0,-1.070734262,3.599999905,0,0
0,56,1,0,-1.070734262,4.199999809,0,0
0,48,0,0,-0.142693087,3.900000095,0,0
0,48,0,0,-0.142693087,4.099999905,0,0
0,48,0,0,-0.142693087,4,1,0
0,48,0,0,-0.142693087,4.300000191,1,0
0,48,0,0,-0.142693087,3.900000095,0,0
0,48,0,0,-0.142693087,4.199999809,1,0
0,48,0,0,-0.142693087,4.199999809,1,0
0,46,1,0,-0.156363413,4.900000095,1,0
0,46,1,0,-0.156363413,4,0,0
0,46,1,0,-0.156363413,4.300000191,0,0
0,46,1,0,-0.156363413,4.900000095,0,0
0,46,1,0,-0.156363413,3.900000095,0,0
0,46,1,0,-0.156363413,4.900000095,1,0
0,46,1,0,-0.156363413,3.900000095,0,0
0,46,1,0,-0.156363413,4,1,0
0,57,1,0,-0.058935404,3.5,0,0
0,57,1,0,-0.058935404,3.900000095,0,0
0,57,1,0,-0.058935404,4,0,0
0,57,1,0,-0.058935404,3.599999905,0,0
0,57,1,0,-0.058935404,3,0,0
0,57,1,0,-0.058935404,3,0,0
0,57,1,0,-0.058935404,3.599999905,0,0
0,57,1,0,-0.058935404,3.599999905,0,0
0,57,1,0,-0.058935404,3.200000048,0,0
0,52,1,0,0.151136786,3.900000095,0,0
0,52,1,0,0.151136786,3.5,0,0
0,52,1,0,0.151136786,3.5,0,0
0,52,1,1,0.151136786,3.099999905,0,0
0,52,1,0,0.151136786,4.199999809,0,0
0,62,0,0,-0.821440518,3.599999905,1,0
0,62,0,0,-0.821440518,4.5,0,0
0,62,0,0,-0.821440518,3.700000048,1,0
0,62,0,0,-0.821440518,3.400000095,1,0
0,64,0,0,-0.199471235,4.5,0,0
0,64,0,0,-0.199471235,4.599999905,0,0
0,64,0,0,-0.199471235,4.800000191,0,0
0,64,0,0,-0.199471235,4.5,0,0
0,64,0,0,-0.199471235,4.400000095,0,0
0,64,0,0,-0.199471235,4.099999905,0,0
0,34,1,0,1.687167406,3.900000095,0,0
